,INSTITUICAO_ENSINO_ALUNO,NOME,IDADE_ALUNO,ANOS_PM,FASE_TURMA,PONTO_VIRADA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IAA,IEG,IPS,IDA,IPP,IPV,IAN,Ano,FASE,TURMA,SINALIZADOR_INGRESSANTE,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,NIVEL_IDEAL,DEFASAGEM,ANO_INGRESSO,BOLSISTA,CG,CF,CT,NOTA_PORT,NOTA_MAT,NOTA_ING,QTD_AVAL,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,INDICADO_BOLSA
0,Escola Pública,ALUNO-1,11.0,2.0,2H,Não,7.883752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,8.7,7.5,7.0,5.9375,7.75,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
1,Escola Pública,ALUNO-3,12.0,2.0,3H,Não,7.856389666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91667,8.9,7.5,5.5,8.125,8.111113333333334,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
2,Escola Pública,ALUNO-4,10.0,2.0,1D,Não,5.076252,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,4.1,6.875,0.0,7.1875,7.75,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
3,Escola Pública,ALUNO-5,10.0,1.0,2M,Não,8.077085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.50002,8.0,7.5,7.5,8.4375,8.166665,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
4,Rede Decisão/União,ALUNO-8,14.0,3.0,4L,Sim,8.381390666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.9,4.375,7.333333333333333,8.749999999999998,8.94445,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
5,Escola Pública,ALUNO-10,13.0,1.0,3B,Não,5.1618745,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,5.83333,5.2,3.75,0.0,7.96875,6.8333325,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
6,Escola Pública,ALUNO-11,8.0,0.0,0A,Sim,9.712504,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10.0,8.125,10.0,10.0,10.00001,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
7,Rede Decisão/União,ALUNO-12,14.0,3.0,3G,Não,5.838887333333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.25,6.0,5.625,6.666666666666667,5.624999999999999,5.277770000000001,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
8,Escola Pública,ALUNO-14,11.0,2.0,2M,Não,6.434585,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,7.6,6.875,0.0,8.4375,7.916665,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
9,Escola Pública,ALUNO-15,12.0,1.0,2D,Não,5.162502,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,4.0,7.5,0.0,8.125,7.25,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
10,Escola Pública,ALUNO-17,13.0,2.0,1G,Não,7.766252,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,6.8,7.5,10.0,6.5625,7.75,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
11,Escola Pública,ALUNO-18,14.0,3.0,3E,Não,7.2055576666666665,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,7.0,7.5,6.5,7.083333333333334,7.944446666666665,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
12,Rede Decisão/União,ALUNO-28,13.0,2.0,3J,Sim,9.354725666666669,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,9.6,6.875,9.0,10.0,9.944453333333334,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
13,Escola Pública,ALUNO-30,7.0,0.0,0C,Não,7.125001,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.91668,10.0,7.5,4.75,2.5,6.916665,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
14,Escola Pública,ALUNO-33,13.0,0.0,3E,Não,7.013888333333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.66667,4.5,7.5,8.666666666666666,7.083333333333334,6.277773333333332,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
15,Escola Pública,ALUNO-34,12.0,2.0,2C,Não,7.698890666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,9.3,6.875,7.0,8.125,7.944443333333334,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
16,Escola Pública,ALUNO-35,18.0,3.0,7B,Não,6.64396,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,6.1,6.25,5.0,7.65625,8.29167,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
17,Escola Pública,ALUNO-36,14.0,1.0,3C,Não,8.307780333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,9.9,7.5,8.0,8.749999999999998,8.222226666666668,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
18,Escola Pública,ALUNO-37,10.0,2.0,2N,Não,6.6788913333333335,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.00002,7.7,4.375,2.5,6.458333333333333,7.77778,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
19,Escola Pública,ALUNO-39,13.0,3.0,3F,Não,8.131388333333334,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.24999,9.4,7.5,8.333333333333334,8.541666666666666,6.777780000000001,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
20,Escola Pública,ALUNO-41,11.0,0.0,1D,Não,7.460002,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,8.3,7.5,7.25,7.5,7.75,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
21,Escola Pública,ALUNO-43,13.0,2.0,4F,Não,7.805209,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.5,7.5,7.5,7.0,7.96875,8.04167,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
22,Escola Pública,ALUNO-44,9.0,0.0,1M,Não,6.218335,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,6.8,7.5,0.0,6.25,7.916665,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
23,Escola Pública,ALUNO-45,11.0,1.0,1G,Não,6.631252,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,1.0,7.5,10.0,7.8125,7.75,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
24,Escola Pública,ALUNO-46,8.0,0.0,0C,Não,6.966669,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.50002,10.0,7.5,0.0,7.5,7.583335,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
25,Escola Pública,ALUNO-51,8.0,1.0,0D,Não,8.955835,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.50002,9.8,7.5,10.0,8.125,7.416665,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
26,Escola Pública,ALUNO-52,10.0,2.0,2F,Não,8.181112666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.00002,8.6,6.25,7.0,7.916666666666668,8.22222,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
27,Einstein,ALUNO-53,15.0,4.0,5X,,8.696667999999999,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,10.0,7.5,8.2,0.0,0.0,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
28,Rede Decisão/União,ALUNO-55,17.0,3.0,6C,Sim,6.878125166666666,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0.0,9.0,7.5,6.333333333333333,8.28125,8.666667499999999,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
29,Rede Decisão/União,ALUNO-57,16.0,2.0,6B,Não,7.311667166666667,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,7.1,6.25,5.833333333333333,7.5,7.5833325,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
30,Escola Pública,ALUNO-59,13.0,0.0,3E,Não,6.563055666666668,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.75001,3.6,7.5,6.0,7.291666666666667,6.444439999999998,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
31,Rede Decisão/União,ALUNO-60,17.0,4.0,5F,Não,7.679582333333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,9.7,6.875,6.666666666666667,8.4375,8.124995,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
32,Escola Pública,ALUNO-61,10.0,0.0,1N,Não,5.604168666666667,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,6.5,7.5,0.0,6.875,7.333333333333333,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
33,Escola Pública,ALUNO-62,12.0,0.0,2L,Não,6.330001333333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.91668,6.9,7.5,3.5,7.083333333333333,7.5,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
34,Escola Pública,ALUNO-68,10.0,0.0,1F,Não,5.988752,D,Quartzo,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,7.6,7.5,0.0,7.1875,8.0,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
35,Escola Pública,ALUNO-71,10.0,1.0,0A,Não,7.550001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,10.0,5.0,9.5,2.5,7.749995,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
36,Rede Decisão/União,ALUNO-75,11.0,1.0,3L,Sim,9.687504,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.00002,10.0,10.0,9.0,9.375,9.75001,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
37,Escola Pública,ALUNO-76,7.0,0.0,0B,Não,8.958334,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.91668,10.0,10.0,10.0,7.5,6.58333,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
38,Escola Pública,ALUNO-78,10.0,3.0,1A,Não,7.352085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,9.0,7.5,5.5,7.1875,7.666665,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
39,Escola Pública,ALUNO-80,10.0,1.0,2N,Não,6.499723333333334,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,6.9166799999999995,9.2,7.5,0.0,7.291666666666667,7.444443333333333,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
40,Escola Pública,ALUNO-81,15.0,1.0,4L,Sim,7.386391000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,5.41667,8.8,7.5,6.0,8.125,9.11112,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
41,Escola Pública,ALUNO-82,9.0,0.0,0D,Não,7.954169,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,10.0,7.5,8.5,6.875,7.333335,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
42,Rede Decisão/União,ALUNO-83,14.0,4.0,4B,Sim,8.155003333333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,9.4,5.625,5.333333333333333,8.958333333333332,9.166676666666666,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
43,Escola Pública,ALUNO-84,8.0,0.0,0B,Não,8.750001000000001,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10.0,10.0,8.5,7.5,6.999995,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
44,Escola Pública,ALUNO-85,9.0,1.0,0D,Não,7.263334,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,9.9,2.5,10.0,2.5,6.66666,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
45,Escola Pública,ALUNO-86,17.0,1.0,6A,Não,5.688333833333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,4.9,7.5,3.6666666666666665,7.5,5.7083325,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
46,Rede Decisão/União,ALUNO-87,14.0,4.0,4L,Sim,8.188612666666666,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.33334,9.2,5.625,6.666666666666667,8.749999999999998,8.722226666666666,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
47,Rede Decisão/União,ALUNO-88,11.0,2.0,2D,Sim,9.04042,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,10.00002,9.4,7.5,9.5,5.9375,9.58334,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
48,Escola Pública,ALUNO-89,9.0,1.0,0G,Não,7.937502,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,10.00002,10.0,7.5,7.5,6.875,7.5,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
49,Escola Pública,ALUNO-90,14.0,1.0,3M,Não,7.073542833333333,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,5.8,7.5,7.666666666666667,7.96875,7.5000025,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
50,Escola Pública,ALUNO-91,10.0,2.0,2H,Não,6.846668,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,6.4,6.875,4.5,5.625,7.58333,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
51,Escola Pública,ALUNO-94,12.0,1.0,3B,Não,6.7552085,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,7.08333,6.0,7.5,4.0,7.96875,7.5000025,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
52,Escola Pública,ALUNO-95,15.0,1.0,3A,Não,7.336876333333333,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.58335,8.2,7.5,6.666666666666667,7.96875,6.791665,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
53,Escola Pública,ALUNO-96,18.0,1.0,7A,Sim,6.432500999999999,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,6.1,6.875,3.0,7.5,8.791664999999998,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
54,Escola Pública,ALUNO-97,12.0,2.0,2D,Não,7.393752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,8.0,7.5,6.0,8.4375,7.75,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
55,Escola Pública,ALUNO-100,12.0,2.0,1M,Não,6.908335000000001,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,6.5,4.375,7.5,6.875,7.916665,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
56,Escola Pública,ALUNO-102,9.0,0.0,1J,Não,7.966668666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,8.5,7.5,7.0,7.5,7.833333333333333,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
57,Escola Pública,ALUNO-103,8.0,0.0,0F,Não,8.597919000000001,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,10.0,7.5,8.5,7.8125,7.333335,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
58,Escola Pública,ALUNO-105,13.0,0.0,3B,Não,8.516877,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,9.6,7.5,8.0,7.96875,7.66667,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
59,Escola Pública,ALUNO-106,10.0,0.0,0H,Não,8.450002,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,10.0,7.5,10.0,7.5,7.5,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
60,Escola Pública,ALUNO-111,14.0,0.0,3L,Não,6.8535425,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,7.7,7.5,4.5,7.96875,7.8750025,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
61,Escola Pública,ALUNO-112,14.0,2.0,3H,Não,6.448887666666667,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,6.8,4.375,5.333333333333333,7.708333333333334,7.611103333333333,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
62,Escola Pública,ALUNO-113,11.0,1.0,1M,Não,7.693335000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,8.8,7.5,7.5,7.5,7.916665,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
63,Escola Pública,ALUNO-115,15.0,1.0,4A,Não,5.331389333333334,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,1.9,6.875,5.166666666666667,7.916666666666667,5.111106666666666,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
64,Escola Pública,ALUNO-117,10.0,0.0,1M,Não,8.032085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,8.9,7.5,9.5,7.1875,7.916665,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
65,Escola Pública,ALUNO-118,8.0,1.0,1D,Não,8.342085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8.500020000000001,7.7,7.5,10.0,7.1875,7.416665,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
66,Escola Pública,ALUNO-120,9.0,1.0,0A,Não,7.895835000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,10.0,8.125,9.5,2.5,7.666665,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
