,INSTITUICAO_ENSINO_ALUNO,NOME,IDADE_ALUNO,ANOS_PM,FASE_TURMA,PONTO_VIRADA,INDE,INDE_CONCEITO,PEDRA,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,IAA,IEG,IPS,IDA,IPP,IPV,IAN,Ano,FASE,TURMA,SINALIZADOR_INGRESSANTE,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,NIVEL_IDEAL,DEFASAGEM,ANO_INGRESSO,BOLSISTA,CG,CF,CT,NOTA_PORT,NOTA_MAT,NOTA_ING,QTD_AVAL,REC_AVA_1,REC_AVA_2,REC_AVA_3,REC_AVA_4,INDICADO_BOLSA
607,Rede Decisão/União,ALUNO-1123,15.0,1.0,3J,Sim,8.266390000000001,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.33334,8.7,6.875,8.333333333333334,9.166666666666666,9.611113333333332,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
608,Escola Pública,ALUNO-1127,12.0,2.0,2B,Sim,7.356669999999999,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.000020000000001,8.2,7.5,6.5,5.0,9.33334,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
609,Rede Decisão/União,ALUNO-1128,14.0,2.0,4E,Sim,8.229169833333334,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.16668,5.5,10.0,6.666666666666667,9.375,9.7083425,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
610,Rede Decisão/União,ALUNO-1129,10.0,1.0,2F,Não,8.035278666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.000020000000001,9.1,5.0,8.0,7.708333333333334,7.222216666666665,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
611,Escola Pública,ALUNO-1130,11.0,1.0,2N,Não,8.788613333333334,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.50002,9.7,6.875,9.0,8.333333333333334,7.888890000000001,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
612,Escola Pública,ALUNO-1131,13.0,1.0,3B,Não,7.046043,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,8.1,6.25,4.0,7.34375,6.541665,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
613,Rede Decisão/União,ALUNO-1132,17.0,1.0,6C,Não,7.131251333333334,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,8.0,6.25,6.166666666666667,7.8125,8.20834,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
614,Escola Pública,ALUNO-1133,17.0,1.0,6A,Não,5.431249666666666,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,0.0,4.5,6.25,5.833333333333333,7.8125,7.291665,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
615,Escola Pública,ALUNO-1134,13.0,1.0,3A,Não,7.178543166666667,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,6.7,7.5,4.833333333333333,7.96875,6.8333325,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
616,Escola Pública,ALUNO-1136,14.0,1.0,4E,Não,7.737918833333333,B,Ametista,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9.58335,7.2,5.0,7.666666666666667,7.8125,7.6250025,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
617,UNISA,ALUNO-1137,19.0,1.0,8A,,9.338335,A,Topázio,Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.,Seu destaque em 2020: As suas boas notas na Faculdade.,,9.58335,10.0,7.5,9.7,0.0,0.0,10.0,2020,,,,,,,,,,,,,,,,,,,,,,,
618,Escola Pública,ALUNO-1139,12.0,1.0,2C,Não,7.492500666666667,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.91668,8.9,7.5,7.5,7.708333333333334,7.499996666666666,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
619,Escola Pública,ALUNO-1141,13.0,1.0,2D,Não,6.9812520000000005,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,7.0,7.5,6.0,7.8125,7.5,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
620,Escola Pública,ALUNO-1142,17.0,3.0,6A,Não,5.968749333333333,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,7.5,7.0,6.25,3.1666666666666665,7.1875,6.70833,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
621,Escola Pública,ALUNO-1145,15.0,0.0,3J,Não,6.225555333333334,C,Ágata,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,9.16668,6.1,6.875,4.666666666666667,8.125,5.777770000000001,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
622,Escola Pública,ALUNO-1148,16.0,2.0,4F,Não,3.0650014999999997,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.66667,1.2,2.5,0.0,5.0,4.5416725,5.0,2020,,,,,,,,,,,,,,,,,,,,,,,
